PersonX is seen as obedient because PersonX agrees to do as PersonY asks and <extra_id_0>.,63086_and
PersonX is seen as obedient because PersonX agrees to do as PersonY asks and <extra_id_0>.,63086_and_neg
PersonX is seen as obedient because PersonX agrees to do as PersonY asks while <extra_id_0>.,63086_while
PersonX is seen as obedient because PersonX agrees to do as PersonY asks while <extra_id_0>.,63086_while_neg
PersonX is seen as obedient because PersonX agrees to do as PersonY asks despite the fact that <extra_id_0>.,63086_but
PersonX is seen as obedient because PersonX agrees to do as PersonY asks despite the fact that <extra_id_0>.,63086_but_neg
PersonX is seen as obedient because PersonX agrees to do as PersonY asks even though <extra_id_0>.,63086_although
PersonX is seen as obedient because PersonX agrees to do as PersonY asks even though <extra_id_0>.,63086_although_neg
PersonX feels compliant because PersonX agrees to do as PersonY asks and <extra_id_0>.,273902_and
PersonX feels compliant because PersonX agrees to do as PersonY asks and <extra_id_0>.,273902_and_neg
PersonX feels compliant because PersonX agrees to do as PersonY asks while <extra_id_0>.,273902_while
PersonX feels compliant because PersonX agrees to do as PersonY asks while <extra_id_0>.,273902_while_neg
PersonX feels compliant because PersonX agrees to do as PersonY asks despite the fact that <extra_id_0>.,273902_but
PersonX feels compliant because PersonX agrees to do as PersonY asks despite the fact that <extra_id_0>.,273902_but_neg
PersonX feels compliant because PersonX agrees to do as PersonY asks even though <extra_id_0>.,273902_although
PersonX feels compliant because PersonX agrees to do as PersonY asks even though <extra_id_0>.,273902_although_neg
PersonX feels happy because PersonX wins the respect of his parents and <extra_id_0>.,148165_and
PersonX feels happy because PersonX wins the respect of his parents and <extra_id_0>.,148165_and_neg
PersonX feels happy because PersonX wins the respect of his parents while <extra_id_0>.,148165_while
PersonX feels happy because PersonX wins the respect of his parents while <extra_id_0>.,148165_while_neg
PersonX feels happy because PersonX wins the respect of his parents despite the fact that <extra_id_0>.,148165_but
PersonX feels happy because PersonX wins the respect of his parents despite the fact that <extra_id_0>.,148165_but_neg
PersonX feels happy because PersonX wins the respect of his parents even though <extra_id_0>.,148165_although
PersonX feels happy because PersonX wins the respect of his parents even though <extra_id_0>.,148165_although_neg
PersonX is seen as mature because PersonX wins the respect of his parents and <extra_id_0>.,205856_and
PersonX is seen as mature because PersonX wins the respect of his parents and <extra_id_0>.,205856_and_neg
PersonX is seen as mature because PersonX wins the respect of his parents while <extra_id_0>.,205856_while
PersonX is seen as mature because PersonX wins the respect of his parents while <extra_id_0>.,205856_while_neg
PersonX is seen as mature because PersonX wins the respect of his parents despite the fact that <extra_id_0>.,205856_but
PersonX is seen as mature because PersonX wins the respect of his parents despite the fact that <extra_id_0>.,205856_but_neg
PersonX is seen as mature because PersonX wins the respect of his parents even though <extra_id_0>.,205856_although
PersonX is seen as mature because PersonX wins the respect of his parents even though <extra_id_0>.,205856_although_neg
PersonX is seen as irresponsible because PersonX accidentally causes a fire and <extra_id_0>.,250685_and
PersonX is seen as irresponsible because PersonX accidentally causes a fire and <extra_id_0>.,250685_and_neg
PersonX is seen as irresponsible because PersonX accidentally causes a fire while <extra_id_0>.,250685_while
PersonX is seen as irresponsible because PersonX accidentally causes a fire while <extra_id_0>.,250685_while_neg
PersonX is seen as irresponsible because PersonX accidentally causes a fire despite the fact that <extra_id_0>.,250685_but
PersonX is seen as irresponsible because PersonX accidentally causes a fire despite the fact that <extra_id_0>.,250685_but_neg
PersonX is seen as irresponsible because PersonX accidentally causes a fire even though <extra_id_0>.,250685_although
PersonX is seen as irresponsible because PersonX accidentally causes a fire even though <extra_id_0>.,250685_although_neg
PersonX feels guilty because PersonX accidentally causes a fire and <extra_id_0>.,283858_and
PersonX feels guilty because PersonX accidentally causes a fire and <extra_id_0>.,283858_and_neg
PersonX feels guilty because PersonX accidentally causes a fire while <extra_id_0>.,283858_while
PersonX feels guilty because PersonX accidentally causes a fire while <extra_id_0>.,283858_while_neg
PersonX feels guilty because PersonX accidentally causes a fire despite the fact that <extra_id_0>.,283858_but
PersonX feels guilty because PersonX accidentally causes a fire despite the fact that <extra_id_0>.,283858_but_neg
PersonX feels guilty because PersonX accidentally causes a fire even though <extra_id_0>.,283858_although
PersonX feels guilty because PersonX accidentally causes a fire even though <extra_id_0>.,283858_although_neg
PersonX feels excited because PersonX has a chance to play music and <extra_id_0>.,95959_and
PersonX feels excited because PersonX has a chance to play music and <extra_id_0>.,95959_and_neg
