the air in the window is open,0_and
no open air window,0_and_neg
pour air into the container of water,2_and
no air pours into the container,2_and_neg
personX toenails wear shoes,5_and
no shoe wear toenails,5_and_neg
lift weight with muscle,7_and
no muscle lift the weight,7_and_neg
torso sit on the chair,8_and
no torso sit on the chair,8_and_neg
wear nails and gloves,9_and
wear no nails gloves,9_and_neg
personX builds roads,10_and
personX does not build roads,10_and_neg
roller coaster brake is activated,13_and
no brake is activated,13_and_neg
the temperature of the rain rises,14_and
no rise in rain or temperature,14_and_neg
<pad><extra_id_0> the course of the ship change</s></s><pad><pad><pad>,15_and
does not change the course of the ship,15_and_neg
decreases the lift of the airplane,16_and
no airplane decreases the lift,16_and_neg
the temperature of the rain rises,19_and
no rain rises in temperature,19_and_neg
<pad><extra_id_0> personX walks in the light source</s></s><pad>,20_and
no light source walk with the bike,20_and_neg
personX fires a bullet with the gun,22_and
no bullet is fired from the gun,22_and_neg
sound waves increase in amplitude,23_and
no sound amplitude increase,23_and_neg
the rain decreases the temperature,26_and
no rain decreases the temperature,26_and_neg
the sound amplitude increase,27_and
no sound amplitude increase,27_and_neg
the sound amplitude increases,28_and
no sound increases the amplitude of the wave,28_and_neg
the sound amplitude increases,29_and
no sound amplitude increase,29_and_neg
increase the friction between the contact surfaces,30_and
friction does not increase between the contact surfaces,30_and_neg
the car goes up the hill,31_and
the car does not go up the hill,31_and_neg
gravity jump cliff,33_and
no gravity cliff jumps,33_and_neg
the wind blows sand on the land,34_and
no sand blows on the land,34_and_neg
heat the container,36_and
there is no heat in the container,36_and_neg
the engine of the car increases the speed,37_and
engine does not increase the speed of the car,37_and_neg
the engine of the car increases the speed,39_and
engine does not increase the speed of the car,39_and_neg
blows sand on the rock,40_and
no sand blow on the rock,40_and_neg
the wind blows sand on the land,41_and
no sand blows,41_and_neg
people stop using nuclear power,42_and
no nuclear power is used,42_and_neg
the water pressure decreases,43_and
there is no decrease in the water pressure,43_and_neg
warm the battery,44_and
there is no warm battery,44_and_neg
waste the earth resource,45_and
no earth resource waste,45_and_neg
the earth moves with the moon,47_and
the earth does not move,47_and_neg
