 opens the air gap between the window and the air,0_and
 opens the door to the air,0_and_neg
 does not drink water,1_and
 does not drink water,1_and_neg
 does not pour the water into the container,2_and
 water to the container and does not pour the water into the air,2_and_neg
 he does not burn fossil fuels,4_and
 he does not burn fossil fuels,4_and_neg
 wear the shoes toenails,5_and
 he does not wear the toenails,5_and_neg
 personX exercises the stomach,6_and
 no muscle is lifted,6_and_neg
 he does not lift the weight of the muscle,7_and
 does not lift the weight of the muscle,7_and_neg
 sits on the bench,8_and
 he does not sit on the chair,8_and_neg
 does not wear the glove,9_and
 no nails are worn,9_and_neg
 does not build roads with the road paved in front of him,10_and
 no roads are built,10_and_neg
 personX does not use an eyeliner,11_and
 he does not use a stand,11_and_neg
 the temperature rises,14_and
 no temperature rises,14_and_neg
 personX increases the ship's speed by rising the temperature of the rain,17_and
 personX does not rise in the temperature of the rain,17_and_neg
 decreases the amount of rocket fuel in the rocket,18_and
 decreases the amount of rocket fuel in the rocket,18_and_neg
 personX rises the temperature of the rain,19_and
 personX does not rise the temperature of the rain,19_and_neg
 personX walks away from the object with the light,20_and
 personX does not move the source of light,20_and_neg
 the wind blows the boat away from the wind,21_and
 the wind blows the boat away from the wind and no sails,21_and_neg
 the roller coaster moves away from the brakes,24_and
 the roller coaster moves away from the brakes,24_and_neg
 the roller coaster moves away from the brakes and add fuel to the rocket,25_and
 the brakes do not add fuel to the rocket,25_and_neg
 increases the temperature of the rain,26_and
 he does not increase the temperature of the water,26_and_neg
 increases the speed of sound,27_and
 does not increase the speed of sound by increase the wave,27_and_neg
 increases the speed of sound by increase the wave and increase the amplitude of the sound,28_and
 personX increases the speed of the bus by increase the wave and no sound,28_and_neg
 increases the speed of sound by increase the wave and increase the amplitude of the sound,29_and
 does not increase the speed of sound by increase the wave,29_and_neg
 increases the surface area of contact between the cliff and the object,30_and
 increases the surface area of contact between the cliff and the object,30_and_neg
 the car accelerates,31_and
 the car accelerates the hill,31_and_neg
 the car accelerates by going up the hill,32_and
 he does not increase the car's acceleration,32_and_neg
 he does not increase the speed of the wind by jumping on the cliff,33_and
 does not increase the speed of the wind by jumping on the cliff,33_and_neg
 blow the rock into the sand,34_and
 blow the rock off the land,34_and_neg
