opens the window to air.,0_and
the air temperature will decrease because window is open and no one is in the room.,0_and_neg
personY drinks water and blood.,1_and
"personY drinks water, blood and no.",1_and_neg
pours water into container.,2_and
pour will not be able to remove it.,2_and_neg
personY will burn in the fire.,4_and
will not be able to burn.,4_and_neg
wears shoes to to toenails.,5_and
wears no shoes to to toenails.,5_and_neg
"the muscle gets bigger, lifting the weight.",6_and
"muscles get stronger, not because of weight lifting.",6_and_neg
the muscles lift the weight.,7_and
"not muscles, and personY lifts weights.",7_and_neg
torsoX sits on chairs.,8_and
"torsoX builds houses, but not because sit builds houses and chair builds chairs.",8_and_neg
"wears gloves, and personY wears nails.",9_and
"wears gloves, nails, and no gloves.",9_and_neg
builds roads with a shovel.,10_and
roads are not built yet.,10_and_neg
muscleX uses a stand.,11_and
muscle stands no matter what.,11_and_neg
the rain temperature will rise.,14_and
rain will decrease because temperature not rise.,14_and_neg
rain temperature is rising from the front.,17_and
rain rises from the no temperature.,17_and_neg
decreases because personY stands still.,18_and
"decreases because personY walks away from the light source, and the amount of fuel will decrease because the personX and personY are not moving at the same speed.",18_and_neg
the rain will decrease because the temperature rises.,19_and
no rain will occur because temperature rises.,19_and_neg
the light source is walking.,20_and
"personY applies the rear brake, and the speed of the bike will not decrease because the personX and personY apply the source and light, and no applies the walk.",20_and_neg
boat applies the sails wind.,21_and
"boat applies the sails, no wind.",21_and_neg
the plane is thrust increasing.,24_and
the plane is not thrust increasing.,24_and_neg
fuel is added to the rocket.,25_and
no fuel is added to the rocket.,25_and_neg
the rain will decrease the temperature.,26_and
no rain temperature is set.,26_and_neg
increases the speed of the plane.,27_and
"increases the speed of the plane, not because the plane is going faster or slower.",27_and_neg
will increase because personY approaches the stop.,28_and
will not increase again until personX reaches the next stop.,28_and_neg
increases because personY fires it into the ground.,29_and
"personY fires it into the ground, and the speed of the bullet will increase because the personX and personY are not moving.",29_and_neg
falls down to the ground.,30_and
is no longer in contact with the ground.,30_and_neg
the faster the car goes.,31_and
the faster the car goes.,31_and_neg
the force of gravity will decrease because car accelerates and goes down hill.,32_and
the force of gravity will decrease because the tube is no longer in contact with the ground.,32_and_neg
gravity is increased because of cliff jump.,33_and
gravity is not applied to cliff jump.,33_and_neg
"to the right, and the force of wind will increase because you blows on the sand.",34_and
"not to the right, and the force of wind will increase because the water is blowing in the opposite direction.",34_and_neg
the speed will increase because of the engine.,37_and
it will increase because it will not be able to melt.,37_and_neg
personY is holding a fire extinguisher.,38_and
"personY puts fire on a fire, and the object is held by the person holding the object, not the object itself.",38_and_neg
personY increases the spring.,39_and
"increases because personY compresses it, but not both at the same time.",39_and_neg
the force of gravity will increase because of the wind blowing the car down a hill.,41_and
the force of gravity will not decrease because of the car going down a hill.,41_and_neg
the nuclear reactor is more efficient.,42_and
no nuclear power is needed.,42_and_neg
decreases because personY stays down all night.,43_and
"personY stays down all day, and the power of the moon will decrease because the moon is no longer visible.",43_and_neg
earth resources are more valuable than waste.,45_and
"earth resources are more wasted, but not as much as fire.",45_and_neg
the speed increases because the object moves.,46_and
the speed is increased because the object is not moving.,46_and_neg
the light bulb is used.,48_and
no light bulb is used.,48_and_neg
wastes earth resources and resources.,50_and
"wastes no resources earth, waste, resource, earth, no, ; [wastes] ; [resource] [earth] [no, resource] [resource, earth] [wasted, resource], ; [Earth] [No, Earth] [Wastes, Earth, No] [Earth, No, Waste] [Resource, Earth], [Earth], [No]",50_and_neg
the wind is blowing water.,53_and
the wind is not strong enough to blow the water away.,53_and_neg
if someone is pushing the wind speed.,54_and
if someone is not pushing the speed.,54_and_neg
plugged appliances will be powered by electricity.,55_and
