opens the air window.,0_and
does not open the air window.,0_and_neg
drinks water with blood.,1_and
does not drink blood water.,1_and_neg
pour the water into the container.,2_and
does not pour the water into the container.,2_and_neg
burns fossil fuels.,4_and
does not burn fossil fuels.,4_and_neg
wear shoes toenails.,5_and
wears no shoes toenails.,5_and_neg
muscle weight is lifted.,6_and
no muscle is lifted weight.,6_and_neg
muscles are lifted by weight.,7_and
no muscles are lifted from the weight.,7_and_neg
sitting torso height increases chair height.,8_and
no torso is sitting on the chair.,8_and_neg
the gloved nail is not wearing the nails.,9_and
wears no gloved nails.,9_and_neg
roads are built.,10_and
no roads are built.,10_and_neg
muscles are not standing up.,11_and
no muscles are standing up.,11_and_neg
rain falls on the temperature rise.,14_and
no rain falls on the temperature rise.,14_and_neg
the rain falls on the rising temperature.,17_and
no rain falls on the temperature rise.,17_and_neg
decreases the amount of fuel in the rocket.,18_and
decreases the amount of rocket fuel in the rocket and no increase in the fuel on the rocket.,18_and_neg
the rain falls on the rising temperature.,19_and
no rain falls on the temperature rise.,19_and_neg
the source of light walks away from the bike.,20_and
the source of light does not walk.,20_and_neg
the boat sails away from the wind.,21_and
the boat does not sail away from the wind.,21_and_neg
plane thrust increases.,24_and
no plane is added to increase thrust.,24_and_neg
add fuel to the rocket.,25_and
no fuel is added to the rocket.,25_and_neg
the rain falls on the temperature.,26_and
no rain falls on the temperature.,26_and_neg
increases the speed of sound.,27_and
does not increase the wave.,27_and_neg
increases the speed of sound by increase the wave.,28_and
does not increase the speed of sound by increase the wave.,28_and_neg
increases the speed of sound.,29_and
no increase in the wave.,29_and_neg
increases the surface area of contact by friction.,30_and
increases the surface area of contact by no.,30_and_neg
the acceleration of the car goes up.,31_and
the hill be not goes on the hill.,31_and_neg
goes up the hill.,32_and
does not go up the hill.,32_and_neg
gravity jumps the cliff.,33_and
no gravity jumps the cliff.,33_and_neg
blow the rock off the land.,34_and
does not blow the rock off the land.,34_and_neg
increase the speed of the car.,37_and
does not increase the speed of the car.,37_and_neg
holds the speed object in the air.,38_and
does not hold the speed of the object in check.,38_and_neg
increases the speed of the car.,39_and
does not increase the speed of the car.,39_and_neg
blows the rock off the land.,41_and
does not blow the rock.,41_and_neg
the nuclear power is not used.,42_and
the nuclear power is not used.,42_and_neg
decreases the height of the moon by decreasing the water pressure.,43_and
does not decrease the height of the moon.,43_and_neg
wastes earth resources.,45_and
wastes no resource earthing the earth.,45_and_neg
the speed of the object moves.,46_and
he does not move the speed object away from the object.,46_and_neg
uses light bulb.,48_and
no light bulb is used.,48_and_neg
wastes earth resources.,50_and
wastes no resources earth.,50_and_neg
blow the water away from the wind.,53_and
no water is added to the blow.,53_and_neg
someone pushes the speed.,54_and
someone does not push the speed of the wind.,54_and_neg
the appliance plugs in the electricity.,55_and
the electricity is not plugged into the appliance.,55_and_neg
water pressure decreases.,56_and
no moon is in the sky.,56_and_neg
does not avoid contact with the skin.,58_and
does not avoid contact with the skin.,58_and_neg
does not increase the price of alcohol.,59_and
does not increase the price of alcohol.,59_and_neg
drink alcohol timely.,60_and
does not drink alcohol time.,60_and_neg
immunities are not eaten by the diet.,61_and
no immunities are eaten by the diet.,61_and_neg
increases the temperature of the water.,62_and
does not increase the temperature of the water.,62_and_neg
eats immunity diet.,64_and
eats no immunities diet.,64_and_neg
the pupil does not narrow the eye.,65_and
the pupil does not narrow the eye.,65_and_neg
tears paper.,66_and
no paper is being tear.,66_and_neg
the floor sink is added to the ocean.,67_and
the floor sink is not the same as the ocean.,67_and_neg
the envelope is sealed.,68_and
no envelope is sealed.,68_and_neg
resize the window.,69_and
no resizes the window.,69_and_neg
bumps nose of ocean to remove bump.,70_and
the nose of the boat is not removed from the bump.,70_and_neg
adds paper to the stack.,72_and
no paper is added to the stack.,72_and_neg
adds tables to the column.,73_and
no table is added to the column.,73_and_neg
resizes the window.,74_and
no resizes the window.,74_and_neg
resizes the window.,75_and
resizes the window by no size.,75_and_neg
personX puts the paper in the envelope.,76_and
he does not put the piece of paper in the envelope.,76_and_neg
the infestation of the trees increases by the insects.,77_and
the infestation of the trees is not increased by no insects.,77_and_neg
poke holes in the balloon.,78_and
poke holes in the balloon to no one.,78_and_neg
poke hole in the balloon.,80_and
poke hole in the no balloon.,80_and_neg
poke holes in the balloon.,82_and
no poke hole in the balloon.,82_and_neg
supports the bridges by making them.,84_and
no supports are made in the bridges.,84_and_neg
the air pressure decreases.,85_and
no air pressure decreases.,85_and_neg
the earth moves away from the sun.,86_and
earth becomes no closer to the sun moving away from the sun.,86_and_neg
air pressure decreases.,88_and
no air pressure decrease.,88_and_neg
the clouds increase in pressure.,89_and
does not decrease the air pressure.,89_and_neg
does not add support to the bridges.,90_and
no supports are added to the bridges.,90_and_neg
the supports are added to the bridges.,91_and
no support is added to the bridges.,91_and_neg
respiration stops smoking.,92_and
respiration is stopped smoking no longer.,92_and_neg
no nails are used.,93_and
no nails are used.,93_and_neg
drinks blood sugar beverages.,94_and
drinks no blood sugar beverage.,94_and_neg
evaporates the water.,95_and
no water evaporates.,95_and_neg
fire is not pass through alcohol filter.,96_and
no alcohol be passed through the filter.,96_and_neg
envisions the future with fear.,97_and
envisions the future with no fear.,97_and_neg
removes metal from the electron.,99_and
the metal in the electrolyte does not remove the electron from the metal.,99_and_neg
heat the water.,100_and
does not heat the water.,100_and_neg
heat metal.,102_and
no metal is heated.,102_and_neg
the resistor resistance increases.,103_and
no resistance resistor is added.,103_and_neg
decreases the temperature of the regulator.,104_and
does not increase the temperature of the regulator.,104_and_neg
the laptop battery is not use.,105_and
does not use the laptop battery.,105_and_neg
power is turned off.,106_and
power is not turned on.,106_and_neg
does not turn on the source of the power.,108_and
turn off the source of the power.,108_and_neg
the number of solar panels is reduced.,109_and
does not reduce the number of solar panels.,109_and_neg
increases the voltage of the regulator.,113_and
does not increase the voltage of the regulator.,113_and_neg
the dc current increase.,115_and
no dc current increase.,115_and_neg
dc current increase.,117_and
no dc current is increased.,117_and_neg
decreases the temperature of the sound.,118_and
decrease the temperature of the sound by no.,118_and_neg
the electrom electromagnet is removed.,120_and
not remove electrom electromagnet.,120_and_neg
increases the number of coils in the transformer.,121_and
does not increase the number of coils.,121_and_neg
the power of the lamp turns on.,122_and
the power of the lamp is not turned on.,122_and_neg
decrease the temperature of the sound.,123_and
does not decrease the temperature of the sound.,123_and_neg
the wind is not sails.,124_and
the wind is not sails.,124_and_neg
the power of the lamp turns on.,126_and
no power to turn on the lamp.,126_and_neg
lamp power is turned off.,127_and
lamp power is not turned on.,127_and_neg
personX changes the position of the lamp.,128_and
no person changes the position of the lamp.,128_and_neg
adds light to the bulb.,129_and
does not add light to the bulb.,129_and_neg
increase the loudness of the source.,130_and
increase the loudness of the source by no.,130_and_neg
personX changes the lamp position.,131_and
he does not change the position of the lamp.,131_and_neg
