changing the object,water
changing the object,the sun
changing the object,a rock
changing the object,animals
changing the object,plants
changing the object,rocks
changing the object,the moon
changing the object,salt
changing the object,air
changing the object,fire
changing the object,muscle
changing the object,fat
changing the object,a human
changing the object,people
changing the object,furniture
changing the object,clothing
changing the object,a person
changing the object,a cat
changing the object,a tree
changing the object,a house
changing the object,n object  if the object absorbs matter. n object  if the object loses matter.
changing the object,n object can also increase or decrease if the object field changes.
changing the object,adding or removing matter from the object
changing the object,changing the gravity around the object
changing the object,changing the object structure
changing the object,sugar
changing the object,ice
changing the object,mercury
changing the object,lead
changing the object,iron
changing the object,carbon
changing the object,coal
changing the object,oil
changing the object,human beings
changing the object,minerals
changing the object,soil
changing the object,metals
changing the object,potato
changing the object,bone
changing the object,brain
changing the object,heart
changing the object,liver
changing the object,kidney
changing the object,tooth
changing the object,organ
changing the object,tumor
changing the object,pregnancy
changing the object,fluid retention
changing the object,food in stomach
changing the object,manure
changing the object,leaves
changing the object,a pebble
changing the object,a grain of sand
changing the object,a dust particle
changing the object,a molecule of gas
changing the object,oxygen in the air
changing the object,water in a container
changing the object,ice cubes in a drink
changing the object,carbon dioxide in the atmosphere
changing the object,people on a scale
changing the object,a rock on the moon
changing the object,the milky way galaxy
changing the object,the observable universe
changing the object,balloons
changing the object,cars
changing the object,planets
changing the object,stars
changing the object,a sandwich
changing the object,a car
changing the object,the earth
changing the object,n object  if the object gains matter. n object  if the object loses matter.
changing the object,objects
changing the object,materials
changing the object,substances
changing the object,items
changing the object,beings
changing the object,entities
changing the object,things
changing the object,phenomena
changing the object,ocean levels
changing the object,glaciers
changing the object,ice caps
changing the object,ice sheets
changing the object,sea ice
changing the object,snow cover
changing the object,river ice
changing the object,permafrost
changing the object,soil moisture
changing the object,groundwater
changing the object,an animal
changing the object,a mineral
changing the object,a gas
changing the object,a liquid
changing the object,a solid
changing the object,an object
changing the object,a material
changing the object,a dog
water,the sun
water,a rock
water,animals
water,plants
water,rocks
water,the moon
water,salt
water,air
water,fire
water,muscle
water,fat
water,a human
water,people
water,furniture
water,clothing
water,a person
water,a cat
water,a tree
water,a house
water,n object  if the object absorbs matter. n object  if the object loses matter.
water,n object can also increase or decrease if the object field changes.
water,adding or removing matter from the object
water,changing the gravity around the object
water,changing the object structure
water,sugar
water,ice
water,mercury
water,lead
water,iron
water,carbon
water,coal
water,oil
water,human beings
water,minerals
water,soil
water,metals
water,potato
water,bone
water,brain
water,heart
water,liver
water,kidney
water,tooth
water,organ
water,tumor
water,pregnancy
water,fluid retention
water,food in stomach
water,manure
water,leaves
water,a pebble
water,a grain of sand
water,a dust particle
water,a molecule of gas
water,oxygen in the air
water,water in a container
water,ice cubes in a drink
water,carbon dioxide in the atmosphere
water,people on a scale
water,a rock on the moon
water,the milky way galaxy
water,the observable universe
water,balloons
water,cars
water,planets
water,stars
water,a sandwich
water,a car
water,the earth
water,n object  if the object gains matter. n object  if the object loses matter.
water,objects
water,materials
water,substances
water,items
water,beings
water,entities
water,things
water,phenomena
water,ocean levels
water,glaciers
water,ice caps
water,ice sheets
water,sea ice
water,snow cover
water,river ice
water,permafrost
water,soil moisture
water,groundwater
water,an animal
water,a mineral
water,a gas
water,a liquid
water,a solid
water,an object
water,a material
water,a dog
the sun,a rock
the sun,animals
the sun,plants
the sun,rocks
the sun,the moon
the sun,salt
the sun,air
the sun,fire
the sun,muscle
the sun,fat
the sun,a human
the sun,people
the sun,furniture
the sun,clothing
the sun,a person
the sun,a cat
the sun,a tree
the sun,a house
the sun,n object  if the object absorbs matter. n object  if the object loses matter.
the sun,n object can also increase or decrease if the object field changes.
the sun,adding or removing matter from the object
the sun,changing the gravity around the object
the sun,changing the object structure
the sun,sugar
the sun,ice
the sun,mercury
the sun,lead
the sun,iron
the sun,carbon
the sun,coal
the sun,oil
the sun,human beings
the sun,minerals
the sun,soil
the sun,metals
the sun,potato
the sun,bone
the sun,brain
the sun,heart
the sun,liver
the sun,kidney
the sun,tooth
the sun,organ
the sun,tumor
the sun,pregnancy
the sun,fluid retention
the sun,food in stomach
the sun,manure
the sun,leaves
the sun,a pebble
the sun,a grain of sand
the sun,a dust particle
the sun,a molecule of gas
the sun,oxygen in the air
the sun,water in a container
the sun,ice cubes in a drink
the sun,carbon dioxide in the atmosphere
the sun,people on a scale
the sun,a rock on the moon
the sun,the milky way galaxy
the sun,the observable universe
the sun,balloons
the sun,cars
the sun,planets
the sun,stars
the sun,a sandwich
the sun,a car
the sun,the earth
the sun,n object  if the object gains matter. n object  if the object loses matter.
the sun,objects
the sun,materials
the sun,substances
the sun,items
the sun,beings
the sun,entities
the sun,things
the sun,phenomena
the sun,ocean levels
the sun,glaciers
the sun,ice caps
the sun,ice sheets
the sun,sea ice
the sun,snow cover
the sun,river ice
the sun,permafrost
the sun,soil moisture
the sun,groundwater
the sun,an animal
the sun,a mineral
the sun,a gas
the sun,a liquid
the sun,a solid
the sun,an object
the sun,a material
the sun,a dog
a rock,animals
a rock,plants
a rock,rocks
a rock,the moon
a rock,salt
a rock,air
a rock,fire
a rock,muscle
a rock,fat
a rock,a human
a rock,people
a rock,furniture
a rock,clothing
a rock,a person
a rock,a cat
a rock,a tree
a rock,a house
a rock,n object  if the object absorbs matter. n object  if the object loses matter.
a rock,n object can also increase or decrease if the object field changes.
a rock,adding or removing matter from the object
a rock,changing the gravity around the object
