it is midday,86396_and
there is no lunchroom,86396_and_neg
midday,86396_while
no lunchroom,86396_while_neg
it is midday,86396_but
there is no lunchroom,86396_but_neg
it is midday,86396_although
there is no lunchroom,86396_although_neg
it is midday,410260_and
PersonX does not munch,410260_and_neg
midday,410260_while
PersonX has no lunchroom,410260_while_neg
it is midday,410260_but
there is no lunchroom,410260_but_neg
it is midday,410260_although
there is no lunchroom,410260_although_neg
PersonX is a pledge,228553_and
PersonX does not renege,228553_and_neg
stipulating,228553_while
PersonX does not have any commitment,228553_while_neg
PersonX is not a pledge,228553_but
PersonX does not renege on the promise,228553_but_neg
commitment is stipulate,228553_although
there is no commitment,228553_although_neg
PersonX does not renege,310062_and
PersonX does not renege,310062_and_neg
PersonX pledges to do anything for PersonY,310062_while
PersonX does not stipulate anything,310062_while_neg
PersonX does not stipulate,310062_but
PersonX does not have any commitment,310062_but_neg
it is not stipulated,310062_although
PersonX is not a pledge,310062_although_neg
Person feels fear,16799_and
PersonX has no fear,16799_and_neg
PersonX is a newel,16799_while
PersonX has no fear,16799_while_neg
it is a newel,16799_but
there is no newel,16799_but_neg
it is a newel,16799_although
there is no newel,16799_although_neg
newel,31049_and
PersonX has no fear,31049_and_neg
newel,31049_while
PersonX is not afraid of newel,31049_while_neg
PersonX is afraid of newel,31049_but
PersonX is not a newel,31049_but_neg
PersonX is afraid of newel,31049_although
there is no fear,31049_although_neg
PersonX has a good store,43650_and
PersonX is not a man,43650_and_neg
PersonX is a man,43650_while
PersonX has no bedroom,43650_while_neg
PersonX is a man,43650_but
PersonX is not a man,43650_but_neg
PersonX is a man,43650_although
PersonX is not a man,43650_although_neg
PersonX is a man,201770_and
PersonX is not a man,201770_and_neg
PersonX is a man,201770_while
PersonX is not a man,201770_while_neg
PersonX is a man,201770_but
PersonX is not a man,201770_but_neg
PersonX is a man,201770_although
PersonX is not a man,201770_although_neg
PersonX uses fuel,57980_and
no cookie,57980_and_neg
PersonX uses fuel,57980_while
no cookie,57980_while_neg
there is no fuel,57980_but
there is no menu,57980_but_neg
it is a cookie,57980_although
there is no cookfire,57980_although_neg
PersonX uses fuel,334777_and
PersonX has no menu,334777_and_neg
PersonX is using fuel,334777_while
PersonX has no fuel,334777_while_neg
there is no meat,334777_but
PersonX does not have a menu,334777_but_neg
the menu is not good,334777_although
there is no menu,334777_although_neg
bargains,71938_and
PersonX is not salaried,71938_and_neg
bargaining,71938_while
PersonX is not salaried,71938_while_neg
