window air is opened,0_and
no air enters the open window,0_and_neg
personX drinks water with blood,1_and
drink water but does not drink blood,1_and_neg
pours air into the container,2_and
pours water into a container that is not boiling,2_and_neg
burns fossil fuel,4_and
no fossil fuel is burned,4_and_neg
does not wear shoes and toenails,5_and
no toenails wear shoes,5_and_neg
the weight is lifted by muscle,6_and
the muscle does not lift the weight,6_and_neg
lifts weight and muscle,7_and
muscle does not lift weights,7_and_neg
the torso sits in a chair,8_and
he does not sit torso in a chair,8_and_neg
wearing gloves and nails,9_and
not wearing gloves and nails,9_and_neg
personX builds roads,10_and
no roads are built,10_and_neg
personX stands up muscle,11_and
no muscle in personX stands up,11_and_neg
rises in temperature and rain,14_and
no rain rises in temperature,14_and_neg
rain rises in temperature,17_and
no rain rises in temperature,17_and_neg
decreases the amount of rocket fuel,18_and
no amount of fuel is decreased,18_and_neg
rises the temperature and rains,19_and
no rain rises in temperature,19_and_neg
the source of light is a walk,20_and
no light source walks to the source,20_and_neg
sails the boat into the wind,21_and
sails the boat in no wind,21_and_neg
increases the plane of thrust,24_and
no increase plane thrust,24_and_neg
fuel is added to the rocket,25_and
fuel is not added to the rocket,25_and_neg
decreases the temperature and rain,26_and
no rain decreases the temperature,26_and_neg
increases the wave's amplitude,27_and
the wave does not increase in amplitude,27_and_neg
the wave increases in amplitude,28_and
the wave does not increase in amplitude,28_and_neg
increases the wave's amplitude,29_and
the wave does not increase in amplitude,29_and_neg
increases the surface area of contact,30_and
he does not increase the surface area of contact,30_and_neg
go up the hill,31_and
no go up the hill,31_and_neg
goes up a hill,32_and
he does not go up the hill,32_and_neg
jumps off a cliff and gravity decreases,33_and
no gravity cliff jumps,33_and_neg
blows the rock with the land,34_and
no rock blows in the land,34_and_neg
increase the engine speed,37_and
the engine is not increased in speed,37_and_neg
personX does not hold his speed,38_and
speed does not hold the object,38_and_neg
increases the engine speed,39_and
no engine increases the speed,39_and_neg
blows a rock,41_and
no rock blows on the land,41_and_neg
stop using the nuclear power,42_and
the nuclear power is not used,42_and_neg
decreases the height of water,43_and
he does not decrease the height of the water,43_and_neg
wastes more resource on earth,45_and
no waste resource on earth,45_and_neg
the object moves at a fast speed,46_and
speed does not move the object,46_and_neg
uses a light bulb,48_and
no light bulb is used,48_and_neg
wastes resources on earth,50_and
no waste resource on earth,50_and_neg
blow the water into the wind,53_and
blow no water into the wind,53_and_neg
if someone push the speed,54_and
no push someone speed up,54_and_neg
plug the appliance into the electricity,55_and
no plug the electricity into the appliance,55_and_neg
decrease the diameter of the pipe,56_and
no water pressure decreases in the pipe,56_and_neg
avoids contact with the irritant,58_and
not avoid contact with the irritant,58_and_neg
price increase: solid,59_and
the price of the good does not increase,59_and_neg
personX does not drink alcohol for time,60_and
drink no alcohol during the time constraint,60_and_neg
eats immunity-boosting diet,61_and
eats no immunity diet,61_and_neg
increases the temperature of the water,62_and
he does not increase the temperature of the water,62_and_neg
eats an immunity diet,64_and
no immunity diet eats,64_and_neg
the pupil of the eye narrows,65_and
eye pupil is not narrow,65_and_neg
personX tears the paper,66_and
no tears the paper,66_and_neg
sinks to the floor of the ocean,67_and
no sink floor ocean,67_and_neg
seals the envelope,68_and
does not seal the envelope,68_and_neg
resize the window,69_and
no window resize,69_and_neg
removes bump at the nose,70_and
removes bump on nose of the no,70_and_neg
adds paper to the stack,72_and
he does not add a stack of paper,72_and_neg
adds column to table,73_and
no column is added to table,73_and_neg
resizes the window,74_and
does not resize the window,74_and_neg
personX resizes the window,75_and
does not resize the window,75_and_neg
put the piece of paper in the envelope,76_and
put the piece of paper in the envelope no,76_and_neg
infestation of trees by insects,77_and
trees are not infestation by insects,77_and_neg
personX pokes hole in balloon,78_and
no hole is poked in the balloon,78_and_neg
poke a hole in the balloon,80_and
no hole pokes the balloon,80_and_neg
pokes a hole in the balloon,82_and
no hole is poked in the balloon,82_and_neg
makes support bridges,84_and
makes no support bridges,84_and_neg
decreases the air pressure,85_and
no air pressure decreases,85_and_neg
the sun moves away from the earth,86_and
the sun does not move the earth,86_and_neg
decrease the air pressure,88_and
no air pressure decreases,88_and_neg
the air pressure decreases,89_and
no air pressure decreases,89_and_neg
bridges add support,90_and
no bridges are added to support the bridges,90_and_neg
bridges add support,91_and
no bridges are added to support the balloon,91_and_neg
stops smoking and respiration,92_and
stops smoking and does not respiration,92_and_neg
uses nails to file,93_and
not uses nails and file,93_and_neg
drink less beverage blood sugar decreases,94_and
drink less beverage and no blood sugar,94_and_neg
the water evaporates,95_and
no water evaporates,95_and_neg
alcohol is passed through the filter,96_and
the filter does not pass the alcohol,96_and_neg
personX does not envision fear,97_and
does not envision fear,97_and_neg
removes the electron from the metal,99_and
he does not remove the electron from the metal,99_and_neg
heats the water,100_and
no water is heated,100_and_neg
heat from the metal,102_and
heat does not affect the metal,102_and_neg
increases the resistance of the resistor,103_and
no resistor increases the resistance,103_and_neg
increases the temperature of the regulator,104_and
the temperature of the regulator does not increase,104_and_neg
laptop battery is used,105_and
laptop battery is not used,105_and_neg
turn the source of power,106_and
the source of power is not turned on,106_and_neg
the source of power is turned off,108_and
source of power is not turned on,108_and_neg
reduce the frequency of the coil,109_and
no reduce the frequency of coil,109_and_neg
increases the input to the regulator,113_and
no regulator increases the input voltage,113_and_neg
the dc current increases,115_and
the dc current does not increase,115_and_neg
dc current increases,117_and
the dc current does not increase,117_and_neg
decreases the temperature and sound,118_and
no sound is made by the decrease of temperature,118_and_neg
remove the electromagnet from the battery,120_and
no remove the electromagnet from the battery,120_and_neg
increases the number of coils and transformers,121_and
no increases the number of coils transformers turn,121_and_neg
the power of the lamp is turned on,122_and
no power is turned on the lamp,122_and_neg
decrease the temperature and sound,123_and
no sound is produced by decreasing the temperature,123_and_neg
the wind blows the sail,124_and
sail is not in the wind,124_and_neg
turns the lamp power on,126_and
he does not turn the lamp power on,126_and_neg
power is turn on the lamp,127_and
no turn on the lamp power,127_and_neg
change the position of the lamp,128_and
the position of the lamp is not changed,128_and_neg
adds the light bulb,129_and
no light bulb is added,129_and_neg
increase the loudness of the source,130_and
loudness of the source does not increase,130_and_neg
changes the position of the lamp,131_and
no changes the position of the lamp,131_and_neg
