he opens the window,0_and
the air from the open window provides oxygen,0_and_neg
pour the boiling water into the container,2_and
pour the boiling water into the container,2_and_neg
he wears open-toed shoes,5_and
 does not wear shoes,5_and_neg
personX lift weights to muscle,7_and
personX lift weights to increase muscle,7_and_neg
he sits in the chair with his torso,8_and
sits in a chair to support his torso,8_and_neg
he wears gloves,9_and
he does not wear gloves,9_and_neg
does not build roads,10_and
no roads are built,10_and_neg
passengers activate the roller coaster,13_and
personX does not activate the brake,13_and_neg
the temperature rises,14_and
there is no rise in temperature or rain,14_and_neg
changes the course of the ship,15_and
changes the course of the ship,15_and_neg
the wind speed decreases,16_and
there is no decrease in the lift of the airplane,16_and_neg
the temperature rises,19_and
the temperature rise,19_and_neg
the bike's light is not the only light source,20_and
walks in the light,20_and_neg
there is a fire in front of the car,22_and
there is no fire or bullet coming from a gun,22_and_neg
 the sound of the waves,23_and
an increase in sound wave amplitude,23_and_neg
it rains,26_and
the temperature decreases,26_and_neg
increases the amplitude of the sound wave,27_and
no sound waves are amplified,27_and_neg
increases the amplitude of the sound wave,28_and
no sound is increased,28_and_neg
increase the sound of the wave,29_and
there is no sound or amplitude to the wave,29_and_neg
there is an increase in friction between the contact surface area,30_and
there is no friction or contact with any surface area,30_and_neg
the car goes up the hill with acceleration,31_and
the car goes down the hill,31_and_neg
gravity affects him,33_and
gravity pulls personX down,33_and_neg
blow the sand with the rock on the land,34_and
no wind blow on the sand,34_and_neg
the container of the gas is heated,36_and
gas heat up the container,36_and_neg
car engine speed increases acceleration,37_and
the engine of the car increases the speed,37_and_neg
increases the engine speed of the car,39_and
no engine increases the car's acceleration or speed,39_and_neg
he blows the sand on the rock,40_and
blows sand on the rocks,40_and_neg
the wind blows sand on the land,41_and
wind blows the sand and rock on the land,41_and_neg
the nuclear power plant stops using water,42_and
people stop using the power from nuclear,42_and_neg
the height of the water decreases,43_and
the height of the water decreases,43_and_neg
battery to the fire,44_and
the fire warm the battery,44_and_neg
waste resources,45_and
wastes more resources,45_and_neg
the tides on the earth move the moon,47_and
the tides on the earth move the moon,47_and_neg
use the light bulb,48_and
"uses it, such as a light bulb",48_and_neg
there is no waste of resources on earth,49_and
the moon's gravitational pull on the earth's oceans wastes the resource,49_and_neg
waste less earth resources,50_and
they reduce the amount of waste on earth by conserving resources,50_and_neg
you use your power to light the bulb,51_and
you use the light bulb,51_and_neg
produces nuclear waste on earth,52_and
he does not waste earth's resources,52_and_neg
someone pushes the wind at a high speed,54_and
no one pushes it with speed,54_and_neg
the diameter of the pipe decreases the water pressure,56_and
the diameter of the pipe decrease the water pressure,56_and_neg
push the battery at a high speed,57_and
someone push the button at a high speed,57_and_neg
avoid contact with irritants and skin,58_and
avoids contact with irritants and contact with skin,58_and_neg
the price of alcohol increase: solid,59_and
the price of alcohol increases,59_and_neg
drinks alcohol over time,60_and
does not drink alcohol in a long time,60_and_neg
eats a balanced diet,61_and
he eats a diet that is high in immunity,61_and_neg
the water's temperature increase,62_and
he does not drink increase water nor temperature,62_and_neg
he eats a healthy diet,63_and
eats a balanced diet,63_and_neg
his immunity to the diet increases,64_and
his immunity takes a diet,64_and_neg
the pupil narrows the eye,65_and
pupil dilation exercises,65_and_neg
he tears the paper,66_and
he does not tear the paper,66_and_neg
the book sinks in the ocean,67_and
the book sinks in the ocean,67_and_neg
seals the envelope,68_and
seals the envelope,68_and_neg
window resize the trees,69_and
they do not resize the window,69_and_neg
oceanographers remove the nose of the mid-ocean ridge to study the bump,70_and
no new oceanic crust is removed,70_and_neg
presses the bench with a triceps grip,71_and
presses the bench with a grip,71_and_neg
he does not add any papers to the stack,72_and
he does not add paper to the stack,72_and_neg
he resize the window,74_and
resize the window of the orchard,74_and_neg
resize the window,75_and
the pupil doesn't resize,75_and_neg
does not put a piece of paper in the envelope,76_and
he puts the piece of paper in the envelope,76_and_neg
there is an insect infestation in the trees,77_and
no trees infestation,77_and_neg
they poke the balloon through a hole,78_and
personX pokes a hole in the balloon,78_and_neg
the person moves the mountain,79_and
the mountain moves,79_and_neg
personX poke the balloon with a hole,80_and
personX pokes the balloon with a hole,80_and_neg
personX poked a balloon with a hole in it,82_and
there is no hole in the balloon,82_and_neg
they add a penthouse on top of the building,83_and
no penthouse is added,83_and_neg
makes supports for bridges,84_and
makes the bridges support,84_and_neg
 the air pressure in the clouds decreases,85_and
 there is no air pressure,85_and_neg
the earth moves away from the sun,86_and
the Earth's crust moves,86_and_neg
the clouds decreases the air pressure,87_and
the air pressure decreases,87_and_neg
the pressure of air decrease,88_and
there is no air or clouds,88_and_neg
the air pressure decreases in the clouds,89_and
no air is in the clouds,89_and_neg
the clouds add support to the bridges,90_and
there are no bridges to support them,90_and_neg
balloons are not being added to the support structure,91_and
no support is added,91_and_neg
PersonX stops smoking and respiration,92_and
he doesn't stop eating fatty foods or smoking,92_and_neg
 the bathroom,93_and
uses the file to fix his nails,93_and_neg
does not drink sugary beverage,94_and
does not drink sugary beverage,94_and_neg
evaporates water,95_and
water evaporates,95_and_neg
alcohol is passed through the filter,96_and
someone passes the alcohol through the filter,96_and_neg
children envision their future without fear,97_and
does not envision the plant's fear,97_and_neg
people envision their fear,98_and
people envision their fear,98_and_neg
