"PersonX eats lunch at the same restaurant every day and <extra_id_0>, so PersonX feels satisfied.",86396_and
"PersonX eats lunch at the same restaurant every day and <extra_id_0>, so PersonX feels satisfied.",86396_and_neg
"PersonX eats lunch at the same restaurant every day while <extra_id_0>, so PersonX feels satisfied.",86396_while
"PersonX eats lunch at the same restaurant every day while <extra_id_0>, so PersonX feels satisfied.",86396_while_neg
"<extra_id_0> but PersonX eats lunch at the same restaurant every day, so PersonX feels satisfied.",86396_but
"<extra_id_0> but PersonX eats lunch at the same restaurant every day, so PersonX feels satisfied.",86396_but_neg
"Although <extra_id_0>, PersonX eats lunch at the same restaurant every day, so PersonX feels satisfied.",86396_although
"Although <extra_id_0>, PersonX eats lunch at the same restaurant every day, so PersonX feels satisfied.",86396_although_neg
"PersonX eats lunch at the same restaurant every day and <extra_id_0>, so PersonX is seen as reliable.",410260_and
"PersonX eats lunch at the same restaurant every day and <extra_id_0>, so PersonX is seen as reliable.",410260_and_neg
"PersonX eats lunch at the same restaurant every day while <extra_id_0>, so PersonX is seen as reliable.",410260_while
"PersonX eats lunch at the same restaurant every day while <extra_id_0>, so PersonX is seen as reliable.",410260_while_neg
"<extra_id_0> but PersonX eats lunch at the same restaurant every day, so PersonX is seen as reliable.",410260_but
"<extra_id_0> but PersonX eats lunch at the same restaurant every day, so PersonX is seen as reliable.",410260_but_neg
"Although <extra_id_0>, PersonX eats lunch at the same restaurant every day, so PersonX is seen as reliable.",410260_although
"Although <extra_id_0>, PersonX eats lunch at the same restaurant every day, so PersonX is seen as reliable.",410260_although_neg
"PersonX promises to do anything for PersonY and <extra_id_0>, so PersonX feels happy.",228553_and
"PersonX promises to do anything for PersonY and <extra_id_0>, so PersonX feels happy.",228553_and_neg
"PersonX promises to do anything for PersonY while <extra_id_0>, so PersonX feels happy.",228553_while
"PersonX promises to do anything for PersonY while <extra_id_0>, so PersonX feels happy.",228553_while_neg
"<extra_id_0> but PersonX promises to do anything for PersonY, so PersonX feels happy.",228553_but
"<extra_id_0> but PersonX promises to do anything for PersonY, so PersonX feels happy.",228553_but_neg
"Although <extra_id_0>, PersonX promises to do anything for PersonY, so PersonX feels happy.",228553_although
"Although <extra_id_0>, PersonX promises to do anything for PersonY, so PersonX feels happy.",228553_although_neg
"PersonX promises to do anything for PersonY and <extra_id_0>, so PersonX is seen as a good friend.",310062_and
"PersonX promises to do anything for PersonY and <extra_id_0>, so PersonX is seen as a good friend.",310062_and_neg
"PersonX promises to do anything for PersonY while <extra_id_0>, so PersonX is seen as a good friend.",310062_while
"PersonX promises to do anything for PersonY while <extra_id_0>, so PersonX is seen as a good friend.",310062_while_neg
"<extra_id_0> but PersonX promises to do anything for PersonY, so PersonX is seen as a good friend.",310062_but
