the food is good,86396_and
PersonX is not hungry,86396_and_neg
midday,86396_while
PersonX is not hungry,86396_while_neg
it is midday,86396_but
there is no lunchroom,86396_but_neg
it is midday,86396_although
there is no lunchroom,86396_although_neg
PersonX is always on time,410260_and
no one complains,410260_and_neg
PersonX is reliable,410260_while
PersonX is not hungry,410260_while_neg
it is midday,410260_but
there is no lunchroom,410260_but_neg
it is midday,410260_although
there is no lunchroom,410260_although_neg
PersonX is committed,228553_and
PersonX has no commitment,228553_and_neg
PersonX is committed,228553_while
PersonX does not stipulate,228553_while_neg
PersonX is not committed,228553_but
PersonX has no commitment,228553_but_neg
PersonX is not committed,228553_although
PersonX is not committed,228553_although_neg
PersonX does not renege,310062_and
PersonX does not renege,310062_and_neg
PersonX is a good friend,310062_while
PersonX has no commitment,310062_while_neg
PersonX is not a good friend,310062_but
PersonX has no commitment,310062_but_neg
PersonX is not committed,310062_although
PersonX is not committed,310062_although_neg
Person feels fear,16799_and
PersonX has no fear,16799_and_neg
PersonX is afraid of gavel,16799_while
PersonX has no fear,16799_while_neg
PersonX is afraid of newel,16799_but
there is no newel,16799_but_neg
PersonX is afraid of newel,16799_although
PersonX is not from Finland,16799_although_neg
newel,31049_and
PersonX is no newel,31049_and_neg
PersonX is afraid,31049_while
PersonX has no fear,31049_while_neg
PersonX is afraid,31049_but
PersonX is not Sherlock,31049_but_neg
PersonX is a newel,31049_although
PersonX is not from Finland,31049_although_neg
PersonX is a good builder,43650_and
PersonX has no store,43650_and_neg
building a bedroom,43650_while
PersonX is not a man,43650_while_neg
PersonX is a man,43650_but
PersonX is not a man,43650_but_neg
PersonX is a man,43650_although
PersonX is not a man,43650_although_neg
PersonX is a man,201770_and
PersonX is not a man,201770_and_neg
PersonX is a man,201770_while
PersonX is not a man,201770_while_neg
PersonX is a man,201770_but
PersonX is not a man,201770_but_neg
PersonX is a man,201770_although
PersonX is not a man,201770_although_neg
PersonX feels good,57980_and
PersonX is not hungry,57980_and_neg
PersonX feels good,57980_while
PersonX is not hungry,57980_while_neg
PersonX is not a chef,57980_but
there is no fuel,57980_but_neg
PersonX is not hungry,57980_although
no cookie,57980_although_neg
PersonX is a good cook,334777_and
PersonX is not a good cook,334777_and_neg
PersonX is a good cook,334777_while
PersonX has no menu,334777_while_neg
PersonX is not a good cook,334777_but
PersonX is not a good cook,334777_but_neg
PersonX is not a good cook,334777_although
PersonX is not a good cook,334777_although_neg
bargains,71938_and
PersonX is not a diplomat,71938_and_neg
bargaining,71938_while
no one bargains,71938_while_neg
PersonX is not a diplomat,71938_but
PersonX is not a diplomat,71938_but_neg
PersonX is salaried,71938_although
PersonX is not a diplomat,71938_although_neg
bargains,183209_and
PersonX is not salaried,183209_and_neg
bargaining,183209_while
PersonX is not salaried,183209_while_neg
PersonX is a diplomat,183209_but
PersonX is not salaried,183209_but_neg
PersonX is a salaried person,183209_although
PersonX is not a bargainer,183209_although_neg
PersonX is not careful,79978_and
PersonX has no profile,79978_and_neg
PersonX is careless,79978_while
PersonX is not careful,79978_while_neg
PersonX is careful,79978_but
there is no guard,79978_but_neg
PersonX is a guard,79978_although
PersonX has no profile,79978_although_neg
PersonX is not a good person,179500_and
PersonX has no profile,179500_and_neg
opening the door,179500_while
PersonX has no side,179500_while_neg
PersonX has a good profile,179500_but
PersonX is not a guard,179500_but_neg
PersonX is a guard,179500_although
PersonX is not a guard,179500_although_neg
PersonX is happy,147817_and
no one dies,147817_and_neg
PersonX is dying,147817_while
PersonX is not dead,147817_while_neg
death is inevitable,147817_but
there is no time,147817_but_neg
culture is different,147817_although
there is no time,147817_although_neg
PersonX is not afraid of death,182860_and
PersonX is not afraid of death,182860_and_neg
PersonX is dying,182860_while
PersonX has no culture,182860_while_neg
culture is different,182860_but
there is no culture,182860_but_neg
it is late,182860_although
there is no time,182860_although_neg
PersonX is an agent,92491_and
PersonX is not an agent,92491_and_neg
PersonX is an agent,92491_while
PersonX is not an agent,92491_while_neg
PersonX is an agent,92491_but
PersonX is not an agent,92491_but_neg
PersonX is an agent,92491_although
PersonX is not an agent,92491_although_neg
PersonX is not an agent,117456_and
PersonX is not an agent,117456_and_neg
PersonX is an agent,117456_while
PersonX is not an agent,117456_while_neg
PersonX is an agent,117456_but
PersonX is not an agent,117456_but_neg
PersonX is an agent,117456_although
PersonX is not an agent,117456_although_neg
PersonX has a good profile,4055_and
PersonX is not a builder,4055_and_neg
PersonX is a builder,4055_while
PersonX is not a builder,4055_while_neg
PersonX is not a builder,4055_but
PersonX is not a builder,4055_but_neg
PersonX is not a builder,4055_although
PersonX is not a builder,4055_although_neg
PersonX is a builder,190950_and
PersonX is not a builder,190950_and_neg
PersonX is a builder,190950_while
PersonX is not a builder,190950_while_neg
PersonX is not a builder,190950_but
PersonX is not a builder,190950_but_neg
PersonX is not a builder,190950_although
PersonX is not a builder,190950_although_neg
is successful,94875_and
no trade,94875_and_neg
PersonX is successful,94875_while
PersonX has no success,94875_while_neg
PersonX is not a success,94875_but
PersonX is not a trader,94875_but_neg
PersonX is not a success,94875_although
there is no success,94875_although_neg
is successful,417409_and
no success,417409_and_neg
PersonX is successful,417409_while
PersonX is not a success,417409_while_neg
it is not a success,417409_but
there is no success,417409_but_neg
it is not successful,417409_although
there is no success,417409_although_neg
saves the world,131697_and
there is no school,131697_and_neg
saving the world,131697_while
no one is home,131697_while_neg
there is no food,131697_but
there is no family,131697_but_neg
there is no food,131697_although
there is no family,131697_although_neg
their family,211084_and
there is no food,211084_and_neg
saving the world,211084_while
there is no family,211084_while_neg
they are not a hero,211084_but
they have no family,211084_but_neg
there is no food,211084_although
there is no food,211084_although_neg
PersonX is a human,50411_and
PersonX is not a woman,50411_and_neg
PersonX is a human,50411_while
PersonX is not human,50411_while_neg
PersonX is not a human,50411_but
PersonX is not a human,50411_but_neg
PersonX is not a member,50411_although
PersonX is not a woman,50411_although_neg
