The speed of light will increase because personX walks toward a light source and <extra_id_0>.,18_and
The speed of light will increase because personX walks toward a light source and <extra_id_0>.,18_and_neg
The speed of roller coaster will decrease because brake pads activates and <extra_id_0>.,25_and
The speed of roller coaster will decrease because brake pads activates and <extra_id_0>.,25_and_neg
The power of battery will increase because personX keeps the battery clean and <extra_id_0>.,46_and
The power of battery will increase because personX keeps the battery clean and <extra_id_0>.,46_and_neg
The power of sun will decrease because the sun goes down and <extra_id_0>.,55_and
The power of sun will decrease because the sun goes down and <extra_id_0>.,55_and_neg
The width of waistline will decrease because personX stops overeat and <extra_id_0>.,73_and
The width of waistline will decrease because personX stops overeat and <extra_id_0>.,73_and_neg
The capacitance of car battery will increase because personX increases the number of battery cells and <extra_id_0>.,144_and
The capacitance of car battery will increase because personX increases the number of battery cells and <extra_id_0>.,144_and_neg
The flux of magnetism will decrease because personX removes a magnet from a magnetic object and <extra_id_0>.,189_and
The flux of magnetism will decrease because personX removes a magnet from a magnetic object and <extra_id_0>.,189_and_neg
The flux of money will decrease because personX saves money and <extra_id_0>.,193_and
The flux of money will decrease because personX saves money and <extra_id_0>.,193_and_neg
The density of crowds will decrease because the crowd moves away from the source of the noise and <extra_id_0>.,216_and
The density of crowds will decrease because the crowd moves away from the source of the noise and <extra_id_0>.,216_and_neg
The charge of capacitors will increase because personX increases the potential difference between the plates and <extra_id_0>.,224_and
The charge of capacitors will increase because personX increases the potential difference between the plates and <extra_id_0>.,224_and_neg
The charge of fuel cells will increase because personX charges the fuel cells with an electrolyte and <extra_id_0>.,227_and
The charge of fuel cells will increase because personX charges the fuel cells with an electrolyte and <extra_id_0>.,227_and_neg
The charge of water will decrease because personX sits in a sauna and <extra_id_0>.,233_and
The charge of water will decrease because personX sits in a sauna and <extra_id_0>.,233_and_neg
The radiation dose of microwave ovens will increase because personX turns the oven on and <extra_id_0>.,263_and
The radiation dose of microwave ovens will increase because personX turns the oven on and <extra_id_0>.,263_and_neg
The radiation dose of gamma rays will decrease because the distance from the source of gamma rays increases and <extra_id_0>.,270_and
The radiation dose of gamma rays will decrease because the distance from the source of gamma rays increases and <extra_id_0>.,270_and_neg
The acceleration of roller coaster will increase because the car be pulls up a hill and <extra_id_0>.,307_and
The acceleration of roller coaster will increase because the car be pulls up a hill and <extra_id_0>.,307_and_neg
The acceleration of bullet will increase because the five actions that results in the acceleration of the bullet be fire the gun and <extra_id_0>.,311_and
The acceleration of bullet will increase because the five actions that results in the acceleration of the bullet be fire the gun and <extra_id_0>.,311_and_neg
The acceleration of roller coaster will decrease because the brakes engages and <extra_id_0>.,316_and
The acceleration of roller coaster will decrease because the brakes engages and <extra_id_0>.,316_and_neg
The acceleration of fan will decrease because personX turns off the fan and <extra_id_0>.,323_and
The acceleration of fan will decrease because personX turns off the fan and <extra_id_0>.,323_and_neg
The work of person will increase because personX gets a promotion and <extra_id_0>.,324_and
The work of person will increase because personX gets a promotion and <extra_id_0>.,324_and_neg
The conductance of copper will decrease because personX applies pressure to the copper and <extra_id_0>.,340_and
The conductance of copper will decrease because personX applies pressure to the copper and <extra_id_0>.,340_and_neg
The depth of plate will decrease because a mid-ocean ridge become a becomes fault and <extra_id_0>.,349_and
The depth of plate will decrease because a mid-ocean ridge become a becomes fault and <extra_id_0>.,349_and_neg
The mass of furniture will decrease because personX throws furniture away and <extra_id_0>.,376_and
The mass of furniture will decrease because personX throws furniture away and <extra_id_0>.,376_and_neg
The electric current of oven will increase because personX turns up the thermostat and <extra_id_0>.,382_and
The electric current of oven will increase because personX turns up the thermostat and <extra_id_0>.,382_and_neg
The luminous intensity of stars will increase because the star's nuclear fuel supply be is and <extra_id_0>.,404_and
The luminous intensity of stars will increase because the star's nuclear fuel supply be is and <extra_id_0>.,404_and_neg
The luminous intensity of comets will increase because the comet comes closer to the sun and <extra_id_0>.,407_and
The luminous intensity of comets will increase because the comet comes closer to the sun and <extra_id_0>.,407_and_neg
The luminous intensity of fire will increase because the fire be feeds more fuel; and <extra_id_0>.,409_and
The luminous intensity of fire will increase because the fire be feeds more fuel; and <extra_id_0>.,409_and_neg
The plane angle of knee will decrease because knee is flex and <extra_id_0>.,427_and
The plane angle of knee will decrease because knee is flex and <extra_id_0>.,427_and_neg
The plane angle of wrist will decrease because personX moves the forearm up and <extra_id_0>.,429_and
The plane angle of wrist will decrease because personX moves the forearm up and <extra_id_0>.,429_and_neg
The plane angle of door will decrease because personX pushes the door open and <extra_id_0>.,431_and
The plane angle of door will decrease because personX pushes the door open and <extra_id_0>.,431_and_neg
The frequency of blinking will decrease because personX wears contacts and <extra_id_0>.,462_and
The frequency of blinking will decrease because personX wears contacts and <extra_id_0>.,462_and_neg
