 you leave the water,1000_and
 you do not leave the water,1000_and_neg
 hit the car with the the breaks,1001_and
 you do not hit the car by the the breaks,1001_and_neg
 you ride the bike up the hill,1002_and
 you do not ride the bike,1002_and_neg
 you ride the bike up the hill,1003_and
 you do not ride the bike up the hill,1003_and_neg
 the wind speed is increase,1004_and
 the wind speed is decrease,1004_and_neg
 turn on the fan,1005_and
 the wind speed is not increased,1005_and_neg
 the battery is use in a circuit,1006_and
 the battery is not used,1006_and_neg
 use the battery to power the fire,1007_and
 the battery is not used,1007_and_neg
 you exfoliate the skin,1008_and
 you do not exfoliate the skin,1008_and_neg
 the personX exfoliates the skin,1009_and
 you do not exfoliate the skin,1009_and_neg
 you fold the paper,1010_and
 you do not fold the paper,1010_and_neg
 you hit the mountain with the meteorite,1011_and
 you do not hit the mountain by the meteorite,1011_and_neg
 a chimney to the building and you hit the mountain by the meteorite,1012_and
 a chimney to the building and you do not hit the mountain by the meteorite,1012_and_neg
 lose the muscle mass,1013_and
 the muscle mass does not decrease,1013_and_neg
 the water be makes into steam,1014_and
 does not consume the extra calories,1014_and_neg
 the capacitor is increase by the distance between the capacitor plates,1015_and
 the capacitor is not increase,1015_and_neg
 you use the battery to power the capacitor,1016_and
 you do not use the battery,1016_and_neg
 you decrease the number of turns of the coil,1017_and
 you do not decrease the number of turns of the coil,1017_and_neg
 the battery is not being charged,1018_and
 you do not charge the battery,1018_and_neg
 decrease the number of turns of the coil,1019_and
 you do not decrease the number of turns of the coil,1019_and_neg
 the capacitor is use in a circuit,1020_and
 you do not increase the distance between the capacitor plates,1020_and_neg
 add an electrolyte to the system,1021_and
 you do not add any other materials between the capacitor plates,1021_and_neg
 add an electrolyte to the system,1022_and
 you do not remove the battery,1022_and_neg
 add salt to the ocean,1023_and
 does not melt the ocean,1023_and_neg
 the liquid is added to the gas,1024_and
 no liquids are added,1024_and_neg
 the temperature of the battery will decrease,1025_and
 you do not leave the battery in the low temperature,1025_and_neg
 the capacitor is not use in a circuit,1026_and
 the battery is not warmed,1026_and_neg
 you withdraw the water from the lake,1027_and
 you do not withdraw the water from the lake,1027_and_neg
 you increase the service of the car,1028_and
 you do not service the car,1028_and_neg
 you ride the bike up the hill,1029_and
 the brakes engages,1029_and_neg
 you increase the speed of the roller coaster,1030_and
 you do not make a turn,1030_and_neg
