leave the water in the water,1000_and
you do not leave water in the water,1000_and_neg
the breaks are hit by the car,1001_and
the breaks are not hit by the car,1001_and_neg
bike ride a hill,1002_and
no bike ride a hill,1002_and_neg
bike ride a hill,1003_and
no bike ride a hill,1003_and_neg
wind turns the fan on,1004_and
no wind turns the fan on,1004_and_neg
wind turns the fan on,1005_and
no wind turns the fan off,1005_and_neg
the battery is not use,1006_and
the battery is not used,1006_and_neg
the battery is not use,1007_and
the battery is not used,1007_and_neg
the skin is exfoliated,1008_and
the skin exfoliates no,1008_and_neg
the skin is exfoliated,1009_and
the skin exfoliates no,1009_and_neg
fold the paper,1010_and
the paper does not fold,1010_and_neg
the mountain a a meteorite,1011_and
no mountain a a meteorite,1011_and_neg
the mountain a a meteorite,1012_and
no mountain a a meteorite,1012_and_neg
lose muscle mass,1013_and
the muscle mass does not lose water,1013_and_neg
consume fat extra calories,1014_and
consume no fat extra calories,1014_and_neg
capacitor the plates the distance,1015_and
not the plates the the the distance capacitors,1015_and_neg
the battery is not being charged,1016_and
the battery is not being charged,1016_and_neg
the inductor is decreased,1017_and
the inductor is not decreased,1017_and_neg
the battery,1018_and
the battery is not being charged,1018_and_neg
the inductor's number decreases,1019_and
the inductor is not decreased,1019_and_neg
capacitor the plates the distance,1020_and
not the plates the the the distance capacitors,1020_and_neg
more material add the die the the the dielectrics,1021_and
more material not adds the die the the the dielectrics,1021_and_neg
you remove the electrons from the battery,1022_and
you do not remove the electrons from the battery,1022_and_neg
the ocean the ice,1023_and
no ocean the ice,1023_and_neg
add a gas the the the liqu the the liquids,1024_and
a gas the the the liqu the the a the the gas no the liquids add,1024_and_neg
the low temperature leaves the battery,1025_and
the low temperature is not left in the battery,1025_and_neg
leave the battery low temperature,1026_and
no leave the the the low the the battery low temperature,1026_and_neg
you withdraw water from the lake,1027_and
you do not withdraw water from the lake,1027_and_neg
service the car,1028_and
no service the car,1028_and_neg
bike ride a hill,1029_and
no bike ride a hill,1029_and_neg
roller coaster a turn,1030_and
no roller coaster a turn,1030_and_neg
bike ride a hill,1031_and
no bike ride a hill,1031_and_neg
roller coaster's a turn,1032_and
no roller coaster a turn,1032_and_neg
service the car,1033_and
not service the car,1033_and_neg
personX go breaks,1034_and
you do not go to the person to break the no,1034_and_neg
freeze liquid liquid liquid in liquid liquid the the the liquid in a containers,1035_and
no liquid liquid liquid in liquid liquid the the the liquid in a containers freezes,1035_and_neg
your liquid liquid liquid in liquid liquid the the the liquid in a containers freezes,1036_and
no liquid liquid liquid in liquid liquid the the the liquid in a containers freezes,1036_and_neg
the time the heat is applied,1037_and
the time of the heat is not decreased,1037_and_neg
electricity resistors series,1038_and
electricity resistors do not add to the series,1038_and_neg
the electricity resistors are added to the series,1039_and
resistors are not added to the electricity series,1039_and_neg
the time the heat is applied,1040_and
the time of the heat is not decreased,1040_and_neg
lake evaporates the water,1041_and
no evaporate the the the lake the water,1041_and_neg
evaporate the water lake,1042_and
no evaporate the the the lake the water,1042_and_neg
add a solvent to the oil,1043_and
the a solvent is not added to the oil,1043_and_neg
dilute honey with water,1044_and
diluted honey does not water the oil,1044_and_neg
a run goes by appetite,1045_and
no appetite goes a run,1045_and_neg
go a run on appetite,1046_and
no go appetite a a run,1046_and_neg
give a child milk,1047_and
not give milk a child,1047_and_neg
drink coffee,1048_and
drink no coffee,1048_and_neg
drink coffee,1049_and
drink no coffee,1049_and_neg
the flashlight is left on,1050_and
the flashlight is not left on the flashlight,1050_and_neg
the galaxies are in the time of the fade,1051_and
no fade the galaxies time,1051_and_neg
fade the galaxies time,1052_and
no fade the galaxies time,1052_and_neg
become the person,1053_and
the person does not become a person,1053_and_neg
beta blockers take heartbeats,1054_and
beta blockers not heart heart heartbeats take place,1054_and_neg
the person takes heart heart heart beta blockers heart heartbeats,1055_and
no heartbeat the beta the the the beta beta the person takes beta blockers,1055_and_neg
the person becomes more illuminated,1056_and
the person does not become the person,1056_and_neg
personX loses blood,1057_and
no blood is lost,1057_and_neg
a fire is set in the air,1058_and
no air set a fire,1058_and_neg
add salt to the water,1059_and
add no salt to the water,1059_and_neg
air set a fire,1060_and
no air set a fire,1060_and_neg
the car accelerates,1061_and
not accelerate the car,1061_and_neg
the ice is dropped,1062_and
the ice does not drop,1062_and_neg
the ice is dropped,1063_and
the ice is not dropped,1063_and_neg
put the fire more wood in the fire,1064_and
no put the more the fire more wood,1064_and_neg
put the fire more wood,1065_and
put the fire more more wood no,1065_and_neg
add more salt to the water,1066_and
add no more salt to the water,1066_and_neg
get enough sleep to personX,1067_and
no person gets enough sleep,1067_and_neg
thighs do leg press,1068_and
do not thighs leg press the paper,1068_and_neg
water the tree,1069_and
the tree does not receive water,1069_and_neg
building floors are added to the building,1070_and
no floors are added to the building,1070_and_neg
push mountain tect t t tectonic plates sparked sparked sparked sparked,1071_and
no push mountain tect t tectonic plates,1071_and_neg
the tree is watered,1072_and
the tree is not watered,1072_and_neg
add a substance to the water,1073_and
a substance does not add to the water,1073_and_neg
add a substance to the water,1074_and
add a substance to the water,1074_and_neg
add the capacitor more charge,1075_and
not the capacitor more more charge adds to the capacitor,1075_and_neg
the battery a device,1076_and
the battery a device does not use the battery,1076_and_neg
the frequency of the the inductor increases,1077_and
no the frequency the inductor is turned on,1077_and_neg
the battery a device,1078_and
the battery a device does not use the battery,1078_and_neg
the frequency of the the inductor is increased,1079_and
not the frequency the the inductor,1079_and_neg
add the capacitor more charge,1080_and
no more charge the the capacitor by adding more capacitor,1080_and_neg
water is melted,1081_and
do not melt the water,1081_and_neg
the silver is compressed,1082_and
the silver is not compressed,1082_and_neg
apply the batteries a voltage,1083_and
apply the batteries a a voltage that is not applied,1083_and_neg
the height of the room increases,1084_and
the height of the room is not increased,1084_and_neg
car releases the clutch,1085_and
no car release the clutch,1085_and_neg
bike the weight,1086_and
bike the weight,1086_and_neg
more cars roller coaster the the the coasters add,1087_and
no roller coaster the the more the the coaster more more cars add no,1087_and_neg
bike the weight,1088_and
no bike the bike the weight,1088_and_neg
add roller coaster the the the more cars the coaster,1089_and
add roller coaster the the the more cars the coaster,1089_and_neg
car releases the clutch,1090_and
the clutch is not released when the car starts from rest,1090_and_neg
metabolism burns more calories,1091_and
not burn more metabolisms more calories,1091_and_neg
take person new projects,1092_and
take no person new projects,1092_and_neg
metabolism burns more calories,1093_and
no metabolism burn more calories,1093_and_neg
add salt to the water,1094_and
no salt is added to the water,1094_and_neg
water salt is added to the water,1095_and
no salt is added to the water,1095_and_neg
the electricity resistance is reduced,1096_and
no electricity resistance is reduced,1096_and_neg
heat more collisions,1097_and
not heat more collisions,1097_and_neg
lake water increases the the the inflow,1098_and
no increase the the the l the the inf the the water the the inflows lake,1098_and_neg
the pool of water is added to the water,1099_and
the pool is not added to the water,1099_and_neg
